tokens,upos,deprel,head_tags,deprel_tags,upos_tags
"['O', 'canal', 'terá', 'o', 'conteúdo', 'reformulado', '.']","['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']","['det', 'nsubj', 'root', 'det', 'obj', 'xcomp', 'punct']","[2, 3, 0, 5, 3, 3, 3]","[0, 1, 2, 0, 3, 4, 5]","[0, 1, 2, 0, 1, 2, 3]"
"['O', 'homem', 'quando', 'tem', 'filho', 'deixa', 'com', 'a', 'mãe', '.']","['DET', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","['det', 'nsubj', 'mark', 'advcl', 'obj', 'root', 'case', 'det', 'obl', 'punct']","[2, 6, 4, 6, 4, 0, 9, 9, 6, 6]","[0, 1, 6, 7, 3, 2, 8, 0, 9, 5]","[0, 1, 4, 2, 1, 2, 5, 0, 1, 3]"
"['Seu', 'criminoso', 'atávico', 'tinha', 'a', 'testa', 'inclinada', ',', 'braços', 'compridos', ',', 'orelhas', 'grandes', 'e', 'a', 'face', 'assimétrica', '.']","['DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'ADJ', 'CCONJ', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['det', 'nsubj', 'amod', 'root', 'det', 'obj', 'amod', 'punct', 'conj', 'amod', 'punct', 'conj', 'amod', 'cc', 'det', 'conj', 'amod', 'punct']","[2, 4, 2, 0, 6, 4, 6, 9, 6, 9, 12, 6, 12, 16, 16, 6, 16, 4]","[0, 1, 10, 2, 0, 3, 10, 5, 11, 10, 5, 11, 10, 12, 0, 11, 10, 5]","[0, 1, 6, 2, 0, 1, 6, 3, 1, 6, 3, 1, 6, 7, 0, 1, 6, 3]"
"['Há', 'nítida', '""', 'desvalorização', 'marginal', '""', 'de', 'as', 'notícias', 'sobre', 'corrupção', '.']","['VERB', 'ADJ', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['root', 'amod', 'punct', 'obj', 'amod', 'punct', 'case', 'det', 'nmod', 'case', 'nmod', 'punct']","[0, 4, 4, 1, 4, 4, 9, 9, 4, 11, 9, 1]","[2, 10, 5, 3, 10, 5, 8, 0, 13, 8, 13, 5]","[2, 6, 3, 1, 6, 3, 5, 0, 1, 5, 1, 3]"
"['Sempre', 'achei', 'que', 'Pep', 'Guardiola', 'deveria', 'ser', 'o', 'técnico', 'de', 'a', 'seleção', 'brasileira', 'de', 'futebol', '.']","['ADV', 'VERB', 'SCONJ', 'PROPN', 'PROPN', 'VERB', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']","['advmod', 'root', 'mark', 'nsubj', 'flat:name', 'ccomp', 'cop', 'det', 'xcomp', 'case', 'det', 'nmod', 'amod', 'case', 'nmod', 'punct']","[2, 0, 6, 6, 4, 2, 9, 9, 6, 12, 12, 9, 12, 15, 12, 2]","[14, 2, 6, 1, 15, 16, 17, 0, 4, 8, 0, 13, 10, 8, 13, 5]","[8, 2, 4, 9, 9, 2, 10, 0, 1, 5, 0, 1, 6, 5, 1, 3]"
"['Sonolento', ',', 'avisou', 'que', 'precisava', 'tirar', 'um', 'cochilo', 'rápido', '.']","['ADJ', 'PUNCT', 'VERB', 'SCONJ', 'VERB', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['advcl', 'punct', 'root', 'mark', 'ccomp', 'xcomp', 'det', 'obj', 'amod', 'punct']","[3, 1, 0, 5, 3, 5, 8, 6, 8, 3]","[7, 5, 2, 6, 16, 4, 0, 3, 10, 5]","[6, 3, 2, 4, 2, 2, 0, 1, 6, 3]"
"['Em', 'o', 'centro', 'expandido', ',', 'essa', 'mudança', 'só', 'é', 'expressiva', 'agora', ',', 'depois', 'de', 'dez', 'meses', 'de', 'gestão', '.']","['ADP', 'DET', 'NOUN', 'VERB', 'PUNCT', 'DET', 'NOUN', 'ADV', 'AUX', 'ADJ', 'ADV', 'PUNCT', 'ADV', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['case', 'det', 'obl', 'acl', 'punct', 'det', 'nsubj', 'advmod', 'cop', 'root', 'advmod', 'punct', 'advmod', 'case', 'nummod', 'obl', 'case', 'nmod', 'punct']","[3, 3, 10, 3, 3, 7, 10, 10, 10, 0, 10, 13, 10, 16, 16, 13, 18, 16, 10]","[8, 0, 9, 18, 5, 0, 1, 14, 17, 2, 14, 5, 14, 8, 19, 9, 8, 13, 5]","[5, 0, 1, 2, 3, 0, 1, 8, 10, 6, 8, 3, 8, 5, 11, 1, 5, 1, 3]"
"['E', 'como', 'o', 'público', 'receberá', '""', 'O', 'Rei', 'de', 'a', 'Vela', '""', 'hoje', '?']","['CCONJ', 'ADV', 'DET', 'NOUN', 'VERB', 'PUNCT', 'PROPN', 'PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT', 'ADV', 'PUNCT']","['cc', 'advmod', 'det', 'nsubj', 'root', 'punct', 'obj', 'flat:name', 'case', 'det', 'flat:name', 'punct', 'advmod', 'punct']","[5, 5, 4, 5, 0, 7, 5, 7, 11, 11, 7, 7, 5, 5]","[12, 14, 0, 1, 2, 5, 3, 15, 8, 0, 15, 5, 14, 5]","[7, 8, 0, 1, 2, 3, 9, 9, 5, 0, 9, 3, 8, 3]"
"['Em', 'uma', 'cidade-Estado', 'conhecida', 'por', 'o', 'planejamento', 'minucioso', 'a', 'longo', 'prazo', ',', 'o', 'embelezamento', 'não', 'tem', 'nada', 'de', 'orgânico', '.']","['ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADV', 'VERB', 'PRON', 'ADP', 'ADJ', 'PUNCT']","['case', 'det', 'obl', 'amod', 'case', 'det', 'obl', 'amod', 'case', 'amod', 'nmod', 'punct', 'det', 'nsubj', 'advmod', 'root', 'obj', 'case', 'obl', 'punct']","[3, 3, 16, 3, 7, 7, 4, 7, 11, 11, 7, 3, 14, 16, 16, 0, 16, 19, 16, 16]","[8, 0, 9, 10, 8, 0, 9, 10, 8, 10, 13, 5, 0, 1, 14, 2, 3, 8, 9, 5]","[5, 0, 1, 6, 5, 0, 1, 6, 5, 6, 1, 3, 0, 1, 8, 2, 12, 5, 6, 3]"
"['A', 'ideia', 'era', 'facilitar', 'a', 'divulgação', 'de', 'alertas', 'para', 'a', 'população', ',', 'evitando', 'jargões', 'científicos', '.']","['DET', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'PUNCT']","['det', 'nsubj', 'cop', 'root', 'det', 'obj', 'case', 'nmod', 'case', 'det', 'nmod', 'punct', 'advcl', 'obj', 'amod', 'punct']","[2, 4, 4, 0, 6, 4, 8, 6, 11, 11, 8, 13, 4, 13, 14, 4]","[0, 1, 17, 2, 0, 3, 8, 13, 8, 0, 13, 5, 7, 3, 10, 5]","[0, 1, 10, 2, 0, 1, 5, 1, 5, 0, 1, 3, 2, 1, 6, 3]"
